State,District,Postcode,Name,Address,Tel,latitude,longitude
Johor,Johor Bahru,80100,"HOSPITAL SULTANAH AMINAH, JOHOR BAHRU",Johor Bahru,07-2257000,1.45852,103.74591
Kedah,Kota Setar,5460,HOSPITAL SULTANAH BAHIYAH,"KM 6, Jalan Langgar",04-7303333,6.148404,100.406788
Kedah,Kuala Muda,8000,"HOSPITAL SULTAN ABDUL HALIM, SUNGAI PETANI",Lencongan Timur Barat Aman Jaya,04-4480095,5.669613,100.516499
Kedah,Kulim,9000,HOSPITAL KULIM,Jalan Machang,04-4909975,5.393173,100.573329
Kedah,Langkawi,7000,HOSPITAL LANGKAWI,Bukit Teguh,04-9663333,6.325404,99.796596
Kelantan,Kota Bharu,15586,"HOSPITAL RAJA PEREMPUAN ZAINAB II, KOTA BHARU",Jalan Hospital,09-7485533,6.125567,102.245691
Kelantan,Kuala Krai,18000,HOSPITAL KUALA KRAI,Jalan Kota Bharu,09-9666333,5.535636,102.199282
Kelantan,Tumpat,16200,HOSPITAL TUMPAT,Jalan Kelaburan,09-7257533,6.189896,102.157181
Melaka,Melaka Tengah,75400,HOSPITAL MELAKA,Jalan Mufti Haji Khalil,06-2892344,2.218645,102.260403
Negeri Sembilan,Seremban,70300,"HOSPITAL TUANKU JA'AFAR, SEREMBAN",Jalan Rasah,06-7623333,2.709764,101.94472
Pahang,Kuantan,25100,"HOSPITAL TENGKU AMPUAN AFZAN, KUANTAN",Jalan Tanah Putih,09-5572222,3.799259,103.321206
Pulau Pinang,Daerah Timur Laut,10990,HOSPITAL PULAU PINANG,"Pejabat Pengarah Hospital, Hospital Pulau Pinang, Jalan Residensi",04-2225333,5.42021,100.30957
Perak,Kinta,30990,HOSPITAL IPOH,Jalan Hospital,05-2533333,4.603792,101.090193
Perlis,Perlis,1000,HOSPITAL TENGKU FAUZIAH,Jalan Kolam,04-9763333,6.440995,100.191337
Selangor,Gombak,47000,HOSPITAL SUNGAI BULUH,Jalan Hospital,03-61454333,3.220112,101.583028
Terengganu,Kuala Terengganu,20400,"HOSPITAL SULTANAH NUR ZAHIRAH, KUALA TERENGGANU",Jalan Sultan Mahmud,09-6233333,5.324317,103.151292
Sabah,Keningau,89007,HOSPITAL KENINGAU,"Km 5 , Jalan Apin-apin , Peti Surat 11",087-313000,5.34077,116.15946
Sabah,Kota Kinabalu,88996,HOSPITAL LIKAS,Karung Berkunci 187,088-522600,6.01396,116.11912
Sabah,Kota Kinabalu,88586,"HOSPITAL QUEEN ELIZABETH, KOTA KINABALU",Karung Berkunci No.2029,088-517555,5.956588,116.072735
Sabah,Sandakan,90000,"HOSPITAL DUCHESS OF KENT, SANDAKAN","KM 3.2, Jalan Utara",089-212111,5.858905,118.102986
Sabah,Tawau,91007,HOSPITAL TAWAU,Peti Surat 80,089-773533,4.24924,117.879487
Sarawak,Bintulu,97000,HOSPITAL BINTULU,Jalan Nyabau,086-255899,3.23015,113.10026
Sarawak,Kuching,93586,HOSPITAL UMUM KUCHING,Jalan Tun Ahmad Zaidi Adruce,082-257555,1.544093,110.339401
Sarawak,Miri,98000,HOSPITAL MIRI,Jalan Cahaya Lopeng,085-420033,4.373951,113.998249
Sarawak,Sibu,96000,HOSPITAL SIBU,"Batu 5 ,  Jalan Ulu Oya",084-343333,2.297191,111.892144
Wilayah Persekutuan,Kuala Lumpur,50586,HOSPITAL KUALA LUMPUR,Jalan Pahang,03-26155555,3.171983,101.699818
Wilayah Persekutuan,Labuan,81006,HOSPITAL LABUAN,Peti Surat,087-423922/423919,5.31062,115.23066
